,태백특A,해남,행남자기,태백A,태백B,태백C,압해A,압해B
A0000.L*,,,,88.5,85.65,79.68,84.28,82.1
A0000.a*,,,,1.51,2.45,5.4,2.26,4
A0000.b*,,,,8.54,11.09,18.81,9.91,15.11
B0000.L*,90.18,93.67,90.18,93.51,90.72,83.21,92.2,88.41
B0000.a*,-0.34,0.35,0.37,0.26,0.96,3.97,0.62,2.56
B0000.b*,3.95,2.26,5.86,3.31,6.28,16.04,4.86,11.91
C1200.L*,96.95,97.34,96.24,96.04,93.05,82.52,92.96,91.33
C1200.a*,0.47,0.57,0.61,0.58,1.47,5.76,1.34,2.3
C1200.b*,2.22,1.02,2.36,3.53,4.98,9.55,5.03,7.16
D1250.L*,96.87,97.16,96.25,93.78,91.04,80.9,89.34,87.76
D1250.a*,0.37,0.61,0.57,0.68,1.21,3.73,1.19,1.98
D1250.b*,2.54,0.97,2.04,5.64,6.53,11.26,6.32,9.16
E1200.L*,96.03,95.92,95.59,93.78,91.7,82.1,92.79,89.15
E1200.a*,0.5,0.24,0.73,0.78,1.74,5.65,1.6,2.93
E1200.b*,2.96,3.38,2.4,4.98,5.71,10.09,4.89,7.86
F1250.L*,96.18,96.94,96.08,89.87,88.16,80.23,88.91,83
F1250.a*,0.3,0.52,0.6,0.64,1.33,3.9,1.02,1.42
F1250.b*,3.7,1.25,2.61,6.95,7.34,12.41,5.66,8.09
G1200.L*,96.17,97.18,95.69,94.11,92.81,82.74,90.72,88.27
G1200.a*,0.49,0.44,0.46,0.54,0.7,4.47,0.66,4.51
G1200.b*,1.99,0.95,2.01,6.21,5.85,18.4,7,10.61
H1250.L*,96.94,97.56,96.11,91.43,88.64,85.18,86.17,84
H1250.a*,0.25,0.11,0.06,0.28,0.6,3.12,0.34,0.3
H1250.b*,2.74,1.9,3.27,8.48,8.68,15.72,2.66,3.93
H1200.L*,96.35,96.26,95.82,90.92,89.53,82.24,91.14,84.68
H1200.a*,-0.03,0.42,0.45,0.3,0.48,4.71,0.48,0.15
H1200.b*,3.81,1.78,2.2,8.57,9.45,20.84,6.77,5.26
H1250.L*,96.2,97.31,96.09,86.27,83.87,84,86.75,80.94
H1250.a*,0.26,0.15,0.27,0.29,0.36,3.78,0.24,0.5
H1250.b*,3.33,1.95,3.12,3.29,3.71,19.11,2.21,4.91
