시료명/분석성분(%),무안점토 (흑색),천안점토,오부점토,홍점토,백점토,블랙점토 (중국),무안점토 (회색),무안점토 (노란색)
SiO2,62.2,64.4,48.3,46,44.7,51.2,56.92,51.84
Al2O3,18.7,17,30.2,30.3,38.5,29.8,22.71,29.7
Fe2O3,3.68,5.78,2.97,7.04,0.12,1.88,2.33,3.4
CaO,0.5,0.3,4.9,0.16,0.24,0.09,0.36,0.18
MgO,0.87,0.99,1.76,0.51,<0.01,0.23,0.85,0.5
K2O,1.96,2.25,0.39,0.84,0.03,1.89,2.07,2.14
Na2O,1.08,0.63,1.35,0.15,-,0.37,1.32,0.65
TiO2,0.86,0.93,0.28,1.01,<0.01,0.46,0.79,0.7
MnO,0.02,0.04,0.03,0.08,<0.01,0.02,0.02,0.01
P2O5,0.12,0.15,0.03,0.06,0.04,0.04,0.03,0.06
ZrO2,0.02,0.02,<0.01,0.01,<0.01,0.02,0.02,0.02
Cr2O3,-,-,-,0.03,<0.01,<0.01,-,-
Li2O,0.03,0.03,0.03,0.01,-,0.02,0.03,0.03
SrO,0.02,0.01,<0.01,0.01,<0.01,<0.01,0.02,0.02
ZnO,0.02,0.03,0.05,<0.01,<0.01,0.03,0.02,0.02
BaO,0.06,0.05,0.02,0.03,0.01,0.01,0.06,0.06
감열감량,9.8,7.33,9.66,13.7,16.2,13.9,12.95,10.9
