===== printLabels =====
1 태백특A
2 태백특A정제
3 태백A
4 태백A정제
5 태백B
6 태백B정제
7 태백C
8 태백C정제
9 압해A
10 압해A정제
11 압해B
12 압해B정제
13 해남
14 해남정제
15 행남자기
16 행남자기정제
17 KM-85
18 LKC-60
19 KC-009
20 성주WA
21 성주PA
22 대명PB
23 대명WC-1
24 대한PC
25 대한WC-2
===== printRows =====
1 element, 4, 태백A정제, element.sio2, SiO2, eq, 76.5
2 element, 6, 태백B정제, element.sio2, SiO2, eq, 73.3
3 element, 8, 태백C정제, element.sio2, SiO2, eq, 74.2
4 element, 12, 압해B정제, element.sio2, SiO2, eq, 67.5
5 element, 10, 압해A정제, element.sio2, SiO2, eq, 74.4
6 element, 4, 태백A정제, element.al2o3, Al2O3, eq, 15.8
7 element, 6, 태백B정제, element.al2o3, Al2O3, eq, 17.6
8 element, 8, 태백C정제, element.al2o3, Al2O3, eq, 15.8
9 element, 12, 압해B정제, element.al2o3, Al2O3, eq, 21
10 element, 10, 압해A정제, element.al2o3, Al2O3, eq, 16.5
11 element, 4, 태백A정제, element.fe2o3, Fe2O3, eq, 0.54
12 element, 6, 태백B정제, element.fe2o3, Fe2O3, eq, 0.81
13 element, 8, 태백C정제, element.fe2o3, Fe2O3, eq, 1.91
14 element, 12, 압해B정제, element.fe2o3, Fe2O3, eq, 1.12
15 element, 10, 압해A정제, element.fe2o3, Fe2O3, eq, 0.41
16 element, 4, 태백A정제, element.cao, CaO, eq, 0.04
17 element, 6, 태백B정제, element.cao, CaO, eq, 0.04
18 element, 8, 태백C정제, element.cao, CaO, eq, 0.06
19 element, 12, 압해B정제, element.cao, CaO, eq, 0.05
20 element, 10, 압해A정제, element.cao, CaO, eq, 0.06
21 element, 4, 태백A정제, element.mgo, MgO, eq, 0.2
22 element, 6, 태백B정제, element.mgo, MgO, eq, 0.34
23 element, 8, 태백C정제, element.mgo, MgO, eq, 0.34
24 element, 12, 압해B정제, element.mgo, MgO, eq, 0.31
25 element, 10, 압해A정제, element.mgo, MgO, eq, 0.24
26 element, 4, 태백A정제, element.k2o, K2O, eq, 4.11
27 element, 6, 태백B정제, element.k2o, K2O, eq, 4.46
28 element, 8, 태백C정제, element.k2o, K2O, eq, 2.74
29 element, 12, 압해B정제, element.k2o, K2O, eq, 5.19
30 element, 10, 압해A정제, element.k2o, K2O, eq, 4.01
31 element, 4, 태백A정제, element.na2o, Na2O, eq, 0.08
32 element, 6, 태백B정제, element.na2o, Na2O, eq, 0.09
33 element, 8, 태백C정제, element.na2o, Na2O, eq, 0.04
34 element, 12, 압해B정제, element.na2o, Na2O, eq, 0.17
35 element, 10, 압해A정제, element.na2o, Na2O, eq, 0.51
36 element, 4, 태백A정제, element.tio2, TiO2, eq, 0.08
37 element, 6, 태백B정제, element.tio2, TiO2, eq, 0.1
38 element, 8, 태백C정제, element.tio2, TiO2, eq, 0.44
39 element, 12, 압해B정제, element.tio2, TiO2, eq, 0.16
40 element, 10, 압해A정제, element.tio2, TiO2, eq, 0.06
41 element, 4, 태백A정제, element.mno, MnO, lt, 0.01
42 element, 6, 태백B정제, element.mno, MnO, lt, 0.01
43 element, 8, 태백C정제, element.mno, MnO, lt, 0.01
44 element, 12, 압해B정제, element.mno, MnO, eq, 0.02
45 element, 10, 압해A정제, element.mno, MnO, eq, 0.01
46 element, 4, 태백A정제, element.p2o5, P2O5, lt, 0.01
47 element, 6, 태백B정제, element.p2o5, P2O5, eq, 0.02
48 element, 8, 태백C정제, element.p2o5, P2O5, eq, 0.04
49 element, 12, 압해B정제, element.p2o5, P2O5, eq, 0.01
50 element, 10, 압해A정제, element.p2o5, P2O5, lt, 0.01
51 element, 4, 태백A정제, element.zro2, ZrO2, lt, 0.01
52 element, 6, 태백B정제, element.zro2, ZrO2, eq, 0.01
53 element, 8, 태백C정제, element.zro2, ZrO2, eq, 0.01
54 element, 12, 압해B정제, element.zro2, ZrO2, eq, 0.01
55 element, 10, 압해A정제, element.zro2, ZrO2, lt, 0.01
56 element, 4, 태백A정제, element.li2o, Li2O, eq, 0.01
57 element, 6, 태백B정제, element.li2o, Li2O, eq, 0.02
58 element, 8, 태백C정제, element.li2o, Li2O, eq, 0.44
59 element, 12, 압해B정제, element.li2o, Li2O, eq, 0.02
60 element, 10, 압해A정제, element.li2o, Li2O, eq, 0.03
61 element, 4, 태백A정제, element.sro, SrO, lt, 0.01
62 element, 6, 태백B정제, element.sro, SrO, lt, 0.01
63 element, 8, 태백C정제, element.sro, SrO, eq, 0.01
64 element, 12, 압해B정제, element.sro, SrO, lt, 0.01
65 element, 10, 압해A정제, element.sro, SrO, eq, 0.01
66 element, 4, 태백A정제, element.cr2o3, Cr2O3, eq, 0.01
67 element, 6, 태백B정제, element.cr2o3, Cr2O3, lt, 0.01
68 element, 8, 태백C정제, element.cr2o3, Cr2O3, lt, 0.01
69 element, 12, 압해B정제, element.cr2o3, Cr2O3, lt, 0.01
70 element, 10, 압해A정제, element.cr2o3, Cr2O3, lt, 0.01
71 element, 4, 태백A정제, element.bao, BaO, eq, 0.01
72 element, 6, 태백B정제, element.bao, BaO, eq, 0.02
73 element, 8, 태백C정제, element.bao, BaO, eq, 0.01
74 element, 12, 압해B정제, element.bao, BaO, eq, 0.04
75 element, 10, 압해A정제, element.bao, BaO, eq, 0.06
